"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"GNE^A","Genie Energy Ltd.","7.495","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gne^a",
"G","Genpact Limited","24.89","5293858605.09","n/a","2007","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/g",
"GPC","Genuine Parts Company","86.75","13078709682","n/a","n/a","Capital Goods","Automotive Aftermarket","http://www.nasdaq.com/symbol/gpc",
"GNW","Genworth Financial Inc","3.79","1885392187.03","n/a","2004","Finance","Life Insurance","http://www.nasdaq.com/symbol/gnw",
"GEO","Geo Group Inc (The)","28.53","2129923697.4","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/geo",
"GPRK","Geopark Ltd","2.75","158111687.25","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gprk",
"GPE^A","Georgia Power Company","29.44","0","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/gpe^a",
"GGB","Gerdau S.A.","1.21","2080787060.88","n/a","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/ggb",
"GTY","Getty Realty Corporation","17.37","580536700.74","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/gty",
"GIMO","Gigamon Inc.","26.96","917248648.96","n/a","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/gimo",
"GIL","Gildan Activewear, Inc.","28.72","7002985601.12","n/a","1998","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/gil",
"GLT","Glatfelter","18.83","817345261.18","n/a","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/glt",
"GKOS","Glaukos Corporation","25.58","821150486.6","n/a","2015","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/gkos",
"GSK","GlaxoSmithKline PLC","40.92","98944560000","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gsk",
"BRSS","Global Brass and Copper Holdings, Inc.","22.03","473802602.62","n/a","2013","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/brss",
